,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
115,0.8689016897081412,0.8624016563146997,9,10,uniform,ball_tree,euclidean,4,14,32(s),43(s),93(s),115,,,,,,,,,,,,,
116,0.897567844342038,0.8595859213250516,5,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),93(s),116,,,,,,,,,,,,,
117,0.899720942140297,0.8452173913043477,3,50,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),87,106,117,,,,,,,,,,,
118,0.8875320020481311,0.8337474120082817,4,34,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),87,106,118,,,,,,,,,,,
119,1.0,0.7993788819875777,1,124,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,119,,,,,,,,,,
120,1.0,0.7993788819875777,1,256,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,120,,,,,,,,,,
121,1.0,0.7993788819875777,1,83,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,102,121.0,,,,,,,,,
122,1.0,0.7993788819875777,1,256,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,102,122.0,,,,,,,,,
123,1.0,0.7993788819875777,1,12,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,92,105.0,123.0,,,,,,,,
124,1.0,0.7993788819875777,1,87,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,92,105.0,124.0,,,,,,,,
125,0.8624628776241678,0.8538302277432711,15,15,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),125(s),,,,,,,,,,,,,
126,0.8667613927291347,0.859544513457557,11,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),126(s),,,,,,,,,,,,,
127,0.8875320020481311,0.8337474120082817,4,17,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),127(s),,,,,,,,,,,,,
128,1.0,0.7993788819875777,1,48,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),87,106,117,128,,,,,,,,,,
129,1.0,0.7993788819875777,1,88,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),87,106,117,129,,,,,,,,,,
130,1.0,0.7993788819875777,1,109,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,120,130.0,,,,,,,,,
131,1.0,0.7993788819875777,1,289,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,120,131.0,,,,,,,,,
132,1.0,0.7993788819875777,1,14,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,92,105.0,123.0,132,,,,,,,
133,1.0,0.7993788819875777,1,10,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,92,105.0,123.0,133,,,,,,,
134,0.8653251408090117,0.859544513457557,14,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),134(s),,,,,,,,,,,,,
135,0.899720942140297,0.8452173913043477,3,7,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),135(s),,,,,,,,,,,,,
136,0.899720942140297,0.8452173913043477,3,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),136(s),,,,,,,,,,,,,
137,0.8717639528929851,0.8681573498964804,10,19,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),137(s),,,,,,,,,,,,,
138,1.0,0.7993788819875777,1,15,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),138(s),,,,,,,,,,,,,
139,0.8667613927291347,0.859544513457557,11,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),139(s),,,,,,,,,,,,,
