,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
167,0.6573398784478728,0.6637681159420289,50,286,uniform,ball_tree,euclidean,2,158(s),167,,,,,,,,,
168,0.7802010285179991,0.7499999999999999,23,300,uniform,ball_tree,euclidean,2,158(s),168,,,,,,,,,
169,0.7823281907433381,0.8021739130434783,21,232,uniform,ball_tree,euclidean,2,169(s),,,,,,,,,,
170,0.7931042543244506,0.7152173913043478,5,240,uniform,ball_tree,euclidean,2,170(s),,,,,,,,,,
171,0.8059841047218328,0.7666666666666666,14,119,uniform,ball_tree,euclidean,2,171(s),,,,,,,,,,
172,0.6680691912108461,0.6717391304347825,38,49,uniform,ball_tree,euclidean,2,163(s),172,,,,,,,,,
173,0.7802010285179991,0.7499999999999999,23,134,uniform,ball_tree,euclidean,2,163(s),173,,,,,,,,,
174,0.7973819541841983,0.7673913043478261,18,62,uniform,ball_tree,euclidean,2,162(s),174,,,,,,,,,
175,0.7758298270219729,0.7416666666666666,7,54,uniform,ball_tree,euclidean,2,162(s),175,,,,,,,,,
176,0.7715755025712951,0.7757246376811594,24,39,uniform,ball_tree,euclidean,2,157(s),166,176.0,,,,,,,,
177,0.7263207106124359,0.6978260869565217,31,47,uniform,ball_tree,euclidean,2,157(s),166,177.0,,,,,,,,
178,0.6702197288452547,0.6721014492753623,37,1,uniform,ball_tree,euclidean,2,178(s),,,,,,,,,,
179,0.8081813931743806,0.7670289855072464,16,55,uniform,ball_tree,euclidean,2,179(s),,,,,,,,,,
180,0.6702197288452547,0.6721014492753623,37,153,uniform,ball_tree,euclidean,2,180(s),,,,,,,,,,
181,0.7931042543244506,0.7152173913043478,5,136,uniform,ball_tree,euclidean,2,162(s),181,,,,,,,,,
182,0.8016596540439458,0.7148550724637681,4,29,uniform,ball_tree,euclidean,2,162(s),182,,,,,,,,,
183,0.7973819541841983,0.7492753623188405,13,3,uniform,ball_tree,euclidean,2,157(s),166,183.0,,,,,,,,
184,0.7973819541841983,0.7753623188405797,12,129,uniform,ball_tree,euclidean,2,157(s),166,184.0,,,,,,,,
185,0.7241701729780272,0.7061594202898551,34,60,uniform,ball_tree,euclidean,2,157(s),166,176.0,185,,,,,,,
186,1.0,0.7579710144927535,1,60,uniform,ball_tree,euclidean,2,157(s),166,176.0,186,,,,,,,
187,0.6702197288452547,0.6721014492753623,37,55,uniform,ball_tree,euclidean,2,157(s),166,177.0,187,,,,,,,
188,0.7672510518934083,0.7586956521739131,22,32,uniform,ball_tree,euclidean,2,157(s),166,177.0,188,,,,,,,
189,0.8081813931743806,0.7670289855072464,16,144,uniform,ball_tree,euclidean,2,189(s),,,,,,,,,,
190,0.6788686302010285,0.6891304347826086,35,209,uniform,ball_tree,euclidean,2,190(s),,,,,,,,,,
191,0.7672510518934083,0.7586956521739131,22,250,uniform,ball_tree,euclidean,2,191(s),,,,,,,,,,
192,0.7973352033660589,0.7586956521739131,9,90,uniform,ball_tree,euclidean,2,179(s),192,,,,,,,,,
193,0.8082047685834504,0.7583333333333333,15,77,uniform,ball_tree,euclidean,2,179(s),193,,,,,,,,,
194,0.7802010285179991,0.7499999999999999,23,4,uniform,ball_tree,euclidean,2,157(s),166,183.0,194,,,,,,,
195,0.8016596540439458,0.7148550724637681,4,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,195,,,,,,,
196,0.7241701729780272,0.7061594202898551,34,1,uniform,ball_tree,euclidean,2,178(s),196,,,,,,,,,
197,0.6810425432445066,0.6804347826086955,36,1,uniform,ball_tree,euclidean,2,178(s),197,,,,,,,,,
198,0.6702197288452547,0.6721014492753623,37,57,uniform,ball_tree,euclidean,2,198(s),,,,,,,,,,
